target,source
Tidak ada sesuatu yg jahat atau bukan manusia diluar sana.,There's nothing evil or inhuman going on out there.
"Yeah, semoga aku tak melakukannya sekarang.","Yeah, I wish I hadn't done it now."
Sepertinya tidak.,I don't think so.
tapi daging dan darah sungguhan.,It's flesh and fucking blood.
-Ataudalamkasusiniorang tuauntukmembimbingkita.,- Or in this case parents to guide us.
Tapi sangat sangat sulit untuk mempertahankan level komitmen.. ..yang membara seperti itu di sepanjang balapan.,"But it's very, very hard to maintain that level of over-the-limit commitment for an entire race."
Dia akan terkena serangan jantung.,He's going into arrest.
- Yang Tepat.,- Right.
"Dua, sebenarnya.","Two, actually."
"Tadi malam, rumah seorang pria dibakar ke tanah.","Last night, a man's home was burned to the ground."
"Sekarang, buka pintunya",Now ... open the door.
- Pindahkan perlahan-lahan di sana dan bernapas dalam-dalam .,- Move slowly in there and breathe deeply.
Aku tidak terkesan.,I'm not impressed.
Kenapa dia?,Why should she?
Apa pendapat kamu?,What do you think?
- Minggir!,I Get lost!
Penembak lari ke Scotch Street.,Gunman runs into Scotch Street.
Gunakan lah dengan baik.,Use it in good health.
"Soren, lihat.","Soren, look."
Entahlah.,I don't know.
Mm-hmm.,Mm-hmm.
"Tergantung di mana Anda menempatkan itu, Sir.","Depends where you placed it, sir."
Aku tidak ingin ada stunts saat ini.,I don't want any stunts this time.
Apa semuanya baik-baik saja?,Is everything all right?
Dengar!,Listen!
Kau harus kembali ke kelompok.,You have to come back to the group.
Jangan marah.,Don't be mad.
"Pintu itu? maafkan aku maaf, ini ide yang buruk","The door, uh— I'm sorry."
Hey!,Hey!
Aku terbang.,You don't... fly.
Aku mengerti.,All right.
Aku tahu.,I know.
Aku bukan pengacara.,I'm not a lawyer.
Bagaimana kalian tahu namaku?,How do you know my name?
Pyongyang?,Pyongyang?
Ini salahku.,This is my fault.
Ada yang ingin bertanya?,"Well, has anybody got any questions at all?"
"Tidak, itu pasti kambing kotoran.","No, it's definitely goat shit."
Suamimu...,Your husband...
"Sebagai manusia, ketika saya melihat lumba-lumba yang menatapku dan matanya pelacakan saya dan aku mengunci mata dengan binatang itu, ada tanggapan manusia yang membuatnya tak dapat disangkal bahwa saya menghubungkan dengan cerdas.","As a human being, when I see a dolphin looking at me and his eyes tracking me and I lock eyes with that animal, there's a human response that makes it undeniable that I'm connecting with an intelligent being."
Atau mereka saling tusuk dibelakang.,Or they stab each other in the back.
Sial!,Fuck!
"Dengar, Bodhi, beberapa orang telah mati.","Look, Bodhi, people are dead."
- Sepotret dong Pak Grey?,- A picture please Mr. Grey?
Tidak perlu.,"Nothing,"
"Terima kasih, Sheriff Vogel.","Thank you, Sheriff Vogel."
"Tolong, aku tahu lebih banyak dari yang kau pikirkan.",Please. Perhaps I know more than you think.
Aku harus menyesuaikan kembali kadar oksigen untuk stasiun.,I have to re-calibrate the oxygen levels for the station.
""". Ganda Mendorong-Tangan""","""Double pushing-hands."""
Kau meminta kami menganalisa sampel DNA dari panah yang membunuh Sara.,You asked us to analyze the DNA off the arrow that killed Sara.
Ke ruanganku.,In my office.
Aku tidak sabar utk pergi dari tempat Peramal Peramal ini.,I can't wait to get out of this frickin' fortune cookie.
Aku akan mengembalikannya.,I'll give it back.
- Sekarang.,- Right now.
Dia tahu bahwa penjaga itu akan menghubungi polisi.,She knew that the harbormaster would contact the police.
"Biasanya setiap hari rabu, dia dan teman- temannya bermain poker di Chutes.",He and the guys have a poker party every Wednesday night over at Chutes.
Apa yang kau lakukan?,- What are you doing?
Dia akan meminta biaya nya.,He'll ask for his fees.
Tunggu sebentar rekaman CCTV di hotel. Di tangannya tertinggal DNA manusia.,"If you used human skin, you'd make the best sex machines on the market."
"- apa yang telah kamu lakukan, Woody?","- What did you do, Woody?"
- Aku mengerti.,- I get it. - What is it?
"Aku berjanji kepada Amanda, dan aku berencana untuk memnuhinya.","I made a promise to Amanda, and I plan to keep it."
"Ya, mereka ingin memastikan tak seorangpun bisa mengembalikan memori dia akan pembunuhan Sebastian Jones.","Well, that, that would make more sense."
Ava adalah tikus di labirin.,Ava was a rat in a maze.
- Ke kelas.,To class.
Sebelumnya aku memergokinya masturbasi... ..dengan salib.,"Yo, man, earlier, I caught her masturbating with a crucifix."
Tom!,Tom!
Apa yang kita lakukan di sini?,What are we doing here?
Namun para utusan bersedih dan mencuri utusan abu-abu.,Still messengers sad and stealing messengers of grey.
"Baiklah, ikut denganku.","All right, come with me."
Kau tidak bisa meninggalkan rumah itu...,The reason why you can't leave that house...
Anda akan menerima sumber daya yang Anda butuhkan Dr Rhoades.,"You'll get whatever resources you need, Dr. Rhodes."
Saya tak pernah lihat dia seperti ini.,"She won't leave her room, and refuses her protein shakes."
Mau kemana kau ?,Where you going? !
Kau ingin memberitahunya?,"Well, do you care to share?"
- Mm-hm.,- Mm-hm.
"Tidak, hanya ... aku kira musim panas sudah berakhir, ya?","Of course you are. What does that mean? Nothing, just..."
Kita sudah saling jujur akhir-akhir ini.,We've been telling each other that a lot lately.
-bagaimana keadaan tamanku?,- how's my park doing?
Tentu saja dia mengatakan ya.,(GROANING) Please stop.
"Maksudku, tidak, aku tidak.","I mean,no,i didn't."
- Dia tidak ada di sini.,- She's not here
Yang benar?,Really?
Itu mengesankan.,That was interesting.
Dodger!,Dodger!
dan aku mau mengambil tempatnya.,And I was going to take his place.
Kau harus merasakan kapan memutarnya.,It'll tell you when to twist.
ya!,Yes!
Namun ...,But...
Terkadang.,Sometimes.
Kita akan membicarakan ini ketika kamu aman.,We'll talk about this when you're safe.
♪ And know my heart's a stereo that only plays for you ♪,* And know my heart's a stereo that only plays for you *
"Ambil saja jam tangan, ambillah dompetku.","Just take the watch, take my wallet."
Beritahu aku kau merasakan nyanyiannya denganmu..,Tell me you feel singing with you..
Mampus!,Die!
dia takkan punya hidung sepertimu.,..won't have a nose like yours.
Tentu saja.,Of course.
Kita perlu mobil ini cepat.,We need this car quick.
Baik.,Great
"Jika aku ingin ingatanku kembali, apa aku bisa mendapatkannya kembali?","If I want to get my memories back, will I be able to get them back?"
Aku tidak mengerti.,I don't understand...
Tapi Mkhulu benar,But Mkhulu is right.
Apakah ini buku-buku kelas 3 nya?,Are these his third grade books?
Itu hampir selesai.,- How's it coming? - Good. It's almost complete.
"Oh, sayang!","Oh, baby!"
Apakah ini semua yang Kamu dapat berikan ke Aku?,Is this all you can give me?
Bagaimana Barkhaa bisa melupakan ayah aku ulang tahun.,How can Barkhaa forget my dad's birthday.
Tidak datang di Hari Natal?,Not coming upon Christmas Day?
Shh!,SHH!
- Jeff?,- Jeff?
Aku butuh sedikit ruang.,I need some space.
"Sahabat ayahku, guru renangku.","My father's best friend, my swimming guru."
"Tapi, cuma inilah yang bisa kuberikan.","But, this is my way of making up to you."
"Kapten Russell, kerajaan Inggris tak bisa berjalan menurut kehendak dan kemauan Perwira seperti kamu.","Captain Russell, the British Empire cannot function according to the whims and fancies of officers like you."
"Edvard Frankel, pemburu strigoi tua, yang aku kenal di Vienna, mengajar aku tentang formula itu.","Edvard Frankel, an old strigoi hunter I knew in Vienna, taught me the formula."
Kenapa awak masih lagi tercegat?,Why are you standing still?
- Shadaloo itu mitos.,- Shadaloo's a myth.
"Tidak, dia tidak.",No. He don't.
Umurnya 12 tahun.,He's 12.
Namaku Mike Regan.,My name is Mike Regan.
Lagi-lagi ini.,This again.
Berhati-hatilah.,Be careful.
Apa yang kau bicarakan?,- Who were you talking to?
Kami mencapai 20% tingkat pemasaran tahun lalu.,We reached a 20% market share last year.
"Sekarang cobalah kembali ""Lebih Jauh Kebelakang"".",Let's return to a time when you were even smaller.
Akhirnya!,Finally!
Kami tidak mau hadiahmu!,We don't want your gift!
"Lizzy, kau mudah dibaca.","Lizzy, you're an open book."
"Aku nak bantu, tapi aku... tak boleh.","I would love to, but I just... I can't."
"Itu aku, pak.","It's me, sir."
Menurutmu Seperti itukah pria ramah ?,You think I'm that type of guy?
Baiklah.,Right.
Apakah bagimu ini cuma banyolan?,Is this a fucking joke to you?
Tak apa.,That's all right.
Saat Artemis mengatakan terpencil...,When Artemis said desolate...
anak Syaibah bin Hasyim ini,This son of Shayb ibn Hashim
Sekarang kita bisa bicara.,Now we can talk.
Dia harus di kota.,He has to be in town.
Kita teman.,"We're friends, friends."
Ini..kacau.,It's a... It's a mess.
Agen Lisbon.,Agent Lisbon.
"Lisa, tolong..",Please Lisa
karena aku harus kencing.,"Well, good, because I have to fucking pee."
- Terima kasih.,- Thank you.
Aku ingin minta maaf soal sikapku kemarin saat kau pergi.,I wanted to apologize about the way I behaved when you left.
Jauh dari sisimu.,Far from your side.
"Intinya, bibi tak ingat kalau bibi akan merebut kunci itu dari bibi sendiri, jadi bibi takkan melakukannya, dan bibi tak menemuimu lagi saat ini, karena kau sudah mati, jadi kau juga takkan mengambil kunci itu dari bibi.","The thing is, is I never remember taking the key from myself, so obviously I didn't do it, and I never saw you again in this life, because you were already dead, so you didn't get it from me, either."
- Sebuah serangan dari Inggris dekat Calais.,- A British raid averted near Calais .
Lee.,Lee.
Berikan nomor Anda dan memanggil Anda sebelum Anda pergi.,Just give me your number and I'll call you before I go.
Dia.. ..gila.,She was... deranged.
Kau pemimpin kami sekarang.,You are our leader now.
Dan aku berubah.,And I was transformed.
Jadi aku sudah berpikir tentang Dana Gray.,- So I've been thinking about Dana Gray.
"Tidak terima kasih, Nyonya.","No thank you, ma'am."
Sampel ini dicuri dari Perusahaan Solum Oil.,This sample was stolen from Solum Oil Corp.
Apakah ada masalah?,Is there a problem?
Dan apa misimu?,And what was your mission?
"Ah, proses eliminasi.","Ah, process of elimination."
Alexander Prosovich memberiku nomor ini.,Kasper. Alexander Prosovich gave me this number.
Lisbon.,Lisbon.
tapi ini tidak bisa menenangkan sang dewi.,but this failed to appease the goddess.
"Maaf, kita sudah membidik 2.000 putaran seminggu selama 4 bulan terakhir sebelum penyebaran tim ini.","Due respect, we've been on the reticle shooting 2,000 rounds a week for the last four months pre this deployment."
Aku ingin bersamamu.,I wanna be with you.
Dia bukanlah anak yang nakal.,He's not a bad kid.
"Kalian...,",You guys...
- Doppelganger.,He's... - Your doppelganger.
Bercerai berai.,Apart from each other.
"Dan hari ini, kami telah mencapai gerbang kota terlarang Lhasa.","And today, we have reached the gates of the forbidden city of Lhasa."
Tidak sejak kau menggigitnya.,Not since you bit her.
bagaimana Milo?,How's Milo?
Beberapa orang mengatakan mendengar dentuman suara kakinya dan suara goresan kaitnya.,Some say you can still hear the thump of his peg and the scrape of his hook.
'Dibelakangnya menyusul... ','On the outside comes...'
Bagian luar yang keluar daun dalam 5 menit.,Outward-bound passage leaves in 5 minutes.
Adalah bahwa dia peduli tentang kalian ...,Is that she cares about you guys
- Mau kemana kamu?,-What is your destination?
Kebiasaan lama sulit.,Old habits die hard.
Kurasa dia ingin melihat akhir dari semua ini.,I guess he wanted to see what was at the end of all this.
"- Jadi, kau mengunci pintu dan meninggalkannya begitu saja?",- So what? That means you just leave?
Anda dipaksa ke dalamnya - penjara negara dengan tidak ada pilihan.,You were forced into it-- a ward of the state with no options.
"Uh, terima kasih, kalian duluan saja.","Uh, thanks, but you guys go ahead."
"Jika kau terus ikut campur, kau bisa terluka.","If you don't stay out of it, you're going to wind up getting hurt."
"Kita sampai, selamat dan kering!",We are safe and sound and dry!
knp?,Why?
Aku menancapkan cakarku disini.,I'm putting my paw down on this one.
"Ayah, tapi kau adalah...","Dad, but you were a..."
Sempurna!,It's perfect!
Oh Kunal!,Oh Kunal!
Hobson tidak bisa menyuruhku.,"Uh, Hobson can't tell me what to do."
Suamiku datang celaka.,My wretched husband's coming.
Sangat berantakan,Very messy
"- ""Daniel Boone""... orang dengan seekor rakun di kepalanya","- ""Daniel Boone""... as in the guy with the raccoon on his head."
Kau paham?,Do you get it?
Setelah dia mengikatmu... ..apa yang dia lakukan selanjutnya?,"After she tied you up, Mr. Roston... what did she do next?"
Setiap hal dan setiap orang yang kau sayangi akan menghilang dan mati dalam sentuhanmu.,Everything and everyone that you love will wither and die at your touch.
Siapa teman barumu?,Who's your new friend?
Ku serahkan padamu.,It's in your hands.
"Fred baik-baik saja, dia merasakan hal sama.","Fred's cool, he feels the same way."
Sam segera kegelapan kita harus bergerak.,"Sam, it's gotta get dark soon. We gotta keep going."
Tapi bukan pyar.,But it wasn't a pop...
Sudah.. lupakan saja dia.,Just... forget about him.
Apakah akan berhasil?,Is it going to work?
Jangan khawatir tentang hal itu.,Don't worry about it.
Mari hanya katakan bahwa aku senang,Let's just say that I'm happy
- Aku tidak tahu.,- I don't know.
Baik!,Okay! Okay!
Kau takkan mendapatkan yang lebih baik lagi.,Not getting a better one.
"Brittany, waktunya kau untuk bersinar, sayang.","Brittany, your time to shine, baby."
Aku tidak bisa bertahan dengan keadaan ini.,I can't go along with this.
/ Bolehkah aku berpendapat?,Can I just bowl?
"Jangan tak perlu selusin, bos.","Don't hardly need a dozen, boss."
"¶ apple pie , madu panggang ham ¶","♪ Apple pie, honey-baked ham ♪"
Kau tak perlu mengubah wasiatnya.,You don't have to change the will.
"Apa yang terjadi dengan ""bersama hingga akhir,"" 'kak?","What happened to ""Together to the end,"" brother?"
Aku tahu.,I know.
Aldous.,Aldous.
Tidur denganku malam ini.,Sleep with me tonight.
"..,..",".., .."
- Z.,- Z.
"Jika kita telah informasi baru, kami ...",Yeah.
"Aku sangat lapar, aku akan menjual nenekku untuk Tic Tac.","I'm so hungry, I'd sell my grandmother for a Tic Tac."
Aku lapar.,I am starving.
Pasti sarang itu dekat.,It has to nest somewhere.
"Jika kamu melakukannya, Rubahlah menjadi tidak memiliki maksud seperti itu.","If you did, change it to having no such intention."
/ Ya.,- Yeah.
"simbol-simbol ini pasti ditujukan untuk para pemburu agar mereka bisa menemukan obatnya, dan ini pasti kisah Qetsiyah dan Silas.","These symbols must have been left for the hunters so they could find the cure, and this must be the story of Qetsiyah and Silas."
- Minta-maaf.,- Apologise.
"Aku tahu ada sesuatu yang salah, aku menguatirkanmu.","I realized that something was wrong, was worried about you."
Charon onIy satu dapat sampai ke pintu gerbang.,Charon's the only one can get to the portal.
"Bangkit dan merangkak, bangsat.","Get up and crawl, you son of a bitch."
